bid_count_1,bid_weight_count_1,bid_val_0,bid_weight_val_2,bid_val_2,ask_count_2,ask_weight_count_1,bid_count_2,ask_val_2,ask_val_1,ask_val_0,bid_weight_val_1,bid_val_1,bid_count_0,datetime,ask_weight_val_2,ask_count_0,bid_weight_count_2,ask_weight_val_1,ask_weight_count_2,ask_count_1
2.771,19.080000000000002,0.05668,0.056672515435064116,0.056678,0.6,22.344,5.136,0.056778,0.056761,0.05676,0.056677727725366875,0.056679,3.862,2018-08-08 19:22:30.040285,0.056823441395764986,1.5,23.939000000000004,0.05678368707482993,57.001000000000005,5.314
1.0,22.191,0.056687,0.05668123769295753,0.056684,2.909,19.706,8.745,0.056767,0.056766,0.056757,0.05668367887882474,0.056686,2.114,2018-08-08 19:22:33.491093,0.05680856144147535,0.28,26.042,0.0567875142088704,31.884,1.587
1.0,13.813,0.056693,0.05668014724844578,0.05669,2.909,19.645,0.33,0.056767,0.056766,0.056754,0.05668821269818286,0.056692,10.586,2018-08-08 19:22:36.940714,0.056810271784049945,1.0,17.372,0.05678542015780097,34.119,1.136
0.23,12.274999999999999,0.056699,0.05668400787907086,0.056697,1.136,5.536,9.475,0.056766,0.056756,0.056754,0.05669665898167007,0.056698,2.114,2018-08-08 19:22:40.338315,0.05680510643249069,0.833,17.134,0.05676699945809248,40.824000000000005,0.058
0.33,5.724,0.056701,0.05664280511008426,0.056657,0.058,4.478,2.72,0.056756,0.056746,0.056745,0.05666433280922432,0.056683,0.817,2018-08-08 19:22:44.847759,0.05680541504164382,0.019,14.716000000000001,0.056764841000446625,40.102,0.356
0.5,4.801,0.056703,0.056647930471978525,0.056683,12.186,18.946,0.33,0.05674,0.056739,0.056738,0.05668319641741303,0.056702,2.114,2018-08-08 19:22:47.414542,0.05676548924963925,0.257,13.793000000000001,0.056740013670431744,41.58,3.3
0.33,4.371,0.056703,0.05664573718958661,0.056656,12.186,16.936,1.508,0.05674,0.056732,0.056731,0.05668037428506062,0.056682,2.114,2018-08-08 19:22:50.870575,0.05676818529842826,3.299,13.329,0.0567399242442135,39.574,0.257
0.33,4.263,0.056703,0.05667746474722286,0.056656,2.909,14.986999999999998,1.508,0.056761,0.056756,0.056725,0.05667949143795449,0.056678,2.006,2018-08-08 19:22:54.316418,0.056790706957994035,6.444,4.411,0.05675199546273437,62.015,0.058
1.925,4.352,0.056704,0.05667898720776355,0.056677,0.058,11.254999999999999,0.33,0.056756,0.056725,0.056724,0.05668086833639705,0.056703,0.24,2018-08-08 19:22:58.357498,0.056781240133461995,3.402,4.534000000000001,0.05673937929808974,61.141000000000005,3.299
0.028,9.123999999999999,0.056678,0.05661117564996829,0.056616,0.23,10.792,3.071,0.056731,0.056717,0.056716,0.05663873586146427,0.056629,4.004,2018-08-08 19:23:01.810732,0.05675774190212495,7.125,15.77,0.056716986749444046,29.977000000000004,3.279
3.0,9.190999999999999,0.056663,0.056617168125491744,0.056629,6.827,10.494,0.358,0.056713,0.056712,0.056711,0.05663063529539767,0.056631,1.763,2018-08-08 19:23:05.247133,0.05675593195408619,3.279,20.336,0.05671260034305318,29.098,0.23
0.028,8.192,0.05665,0.05661204395427466,0.056631,6.827,10.045,3.1,0.056701,0.0567,0.056699,0.05662944116210938,0.056632,1.763,2018-08-08 19:23:08.745198,0.05675244797375126,2.811,12.422,0.05670072692882032,28.649,0.33
